"Season","Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"2000","Mike Bordick","- - -","644","7.6 %","15.4 %","0.49",".285",".341",".443",".783",".158","3.6",".311"," ","-0.9","85","0.8",".342","101","129"
"2000","Derek Bell","Mets","622","10.5 %","20.1 %","0.52",".266",".348",".425",".773",".159","4.0",".313"," ","-0.2","82","0.8",".342","102","1000801"
"2009","Cody Ross","Marlins","604","5.6 %","20.2 %","0.28",".270",".321",".469",".790",".199","3.5",".306","1.9","-0.2","79","6.7",".342","105","1760"
"2005","Kevin Mench","Rangers","615","8.1 %","11.1 %","0.74",".264",".328",".469",".797",".205","3.4",".261","2.6","-0.7","82","8.2",".342","105","1261"
"2000","Wil Cordero","- - -","536","6.0 %","14.2 %","0.42",".276",".328",".464",".792",".188","3.4",".299"," ","-0.7","71","0.7",".342","96","770"
"2012","Alex Rodriguez","Yankees","529","9.6 %","21.9 %","0.44",".272",".353",".430",".783",".158","5.1",".323","-1.7","1.5","72","11.5",".342","114","1274"
"2000","Terrence Long","Athletics","631","6.8 %","12.2 %","0.56",".288",".336",".452",".788",".164","5.3",".305"," ","1.1","84","0.7",".342","100","927"
"2008","Jimmy Rollins","Phillies","625","9.3 %","8.8 %","1.05",".277",".349",".437",".786",".160","7.8",".290","2.8","7.7","82","7.0",".342","104","971"
"2005","Craig Biggio","Astros","651","5.7 %","13.8 %","0.41",".264",".325",".468",".792",".203","4.9",".273","3.3","1.6","87","8.5",".342","106","549"
"2006","Geoff Jenkins","Brewers","555","10.1 %","23.2 %","0.43",".271",".357",".434",".791",".163","3.1",".333","0.1","0.1","74","4.8",".342","102","690"
"2008","Yunel Escobar","Braves","587","10.1 %","10.6 %","0.95",".288",".366",".401",".766",".113","2.8",".311","2.8","-2.2","77","6.4",".341","106","4191"
"2007","Akinori Iwamura","Devil Rays","559","10.4 %","20.4 %","0.51",".285",".359",".411",".770",".126","6.4",".355","2.0","-1.6","74","4.8",".341","107","7781"
"2003","Ichiro Suzuki","Mariners","725","5.0 %","9.5 %","0.52",".312",".352",".436",".788",".124","7.1",".333","3.0","3.2","97","8.2",".341","111","1101"
"2004","Jack Wilson","Pirates","693","3.8 %","10.2 %","0.37",".308",".335",".459",".794",".150","5.5",".330","4.2","-0.3","92","6.5",".341","103","1017"
"2003","Bernie Williams","Yankees","521","13.6 %","11.7 %","1.16",".263",".367",".411",".778",".148","4.2",".275","-2.7","0.9","70","5.9",".341","108","857"
"2006","Chad Tracy","Diamondbacks","662","8.2 %","19.5 %","0.42",".281",".343",".451",".794",".169","3.3",".327","0.7","0.3","89","5.5",".341","98","1888"
"2002","Todd Zeile","Rockies","580","11.4 %","15.9 %","0.72",".273",".353",".425",".778",".152","1.4",".298","0.3","-0.3","77","7.3",".341","89","457"
"2012","A.J. Ellis","Dodgers","505","12.9 %","21.2 %","0.61",".270",".373",".414",".786",".144","1.2",".329","-0.9","-0.6","68","10.6",".341","118","5677"
"2010","Adam LaRoche","Diamondbacks","615","7.8 %","28.0 %","0.28",".261",".320",".468",".788",".207","2.3",".330","-8.3","-0.8","81","9.9",".341","104","1904"
"2002","Todd Walker","Reds","675","7.4 %","12.0 %","0.62",".299",".353",".431",".785",".132","3.7",".329","-2.3","-0.5","90","8.5",".341","104","359"
"2007","Brendan Harris","Devil Rays","576","7.3 %","16.7 %","0.44",".286",".343",".434",".777",".148","4.1",".331","3.8","-0.1","76","4.8",".341","107","2178"
"2005","Jorge Posada","Yankees","546","12.1 %","17.2 %","0.70",".262",".352",".430",".782",".169","2.0",".288","-2.7","0.0","72","6.8",".341","109","841"
"2007","Andre Ethier","Dodgers","507","9.1 %","13.4 %","0.68",".284",".350",".452",".802",".168","2.2",".305","2.5","-2.1","67","4.2",".341","104","6265"
"2012","Justin Upton","Diamondbacks","628","10.0 %","19.3 %","0.52",".280",".355",".430",".785",".150","6.0",".327","3.3","-0.4","85","13.1",".341","108","5222"
"2002","Mike Cameron","Mariners","640","12.3 %","27.5 %","0.45",".239",".340",".442",".782",".204","6.6",".301","2.5","2.8","85","7.9",".341","113","1070"
"2006","Luis Gonzalez","Diamondbacks","668","10.3 %","8.7 %","1.19",".271",".352",".444",".795",".172","2.4",".277","1.5","-0.7","89","5.3",".341","98","55"
"2010","Mike Napoli","Angels","510","8.2 %","26.9 %","0.31",".238",".316",".468",".784",".230","3.2",".279","-0.2","-0.3","67","8.0",".341","115","3057"
"2001","Bubba Trammell","Padres","546","8.8 %","14.3 %","0.62",".261",".330",".467",".797",".206","3.0",".263"," ","-0.5","74","6.2",".341","110","1057"
"2009","Orlando Hudson","Dodgers","631","9.8 %","15.7 %","0.63",".283",".357",".417",".774",".134","5.3",".328","2.2","0.7","82","6.3",".341","109","1307"
"2008","Ryan Theriot","Cubs","661","11.0 %","8.8 %","1.26",".307",".387",".359",".745",".052","4.8",".339","4.8","-1.7","86","6.8",".341","99","3811"
"2011","Carlos Lee","Astros","653","9.0 %","9.2 %","0.98",".275",".342",".446",".788",".171","3.1",".279","-6.1","-0.9","86","12.8",".341","115","243"
"2007","Freddy Sanchez","Pirates","653","4.9 %","11.6 %","0.42",".304",".343",".442",".784",".138","2.7",".328","0.6","-1.0","86","5.2",".341","102","1624"
"2004","Coco Crisp","Indians","538","6.7 %","12.8 %","0.52",".297",".344",".446",".790",".149","5.1",".320","1.3","-1.8","71","4.8",".341","107","1572"
"2000","Damion Easley","Tigers","535","10.3 %","14.8 %","0.70",".259",".350",".416",".766",".157","5.2",".285"," ","0.8","70","0.0",".341","100","464"
"2004","Mike Cameron","Mets","562","10.1 %","25.4 %","0.40",".231",".319",".479",".798",".247","5.3",".260","4.6","1.7","75","4.9",".341","105","1070"
"2009","Erick Aybar","Angels","556","5.4 %","9.7 %","0.56",".312",".353",".423",".776",".111","6.2",".338","2.7","-0.5","72","5.4",".340","105","4082"
"2001","Miguel Tejada","Athletics","683","6.3 %","13.0 %","0.48",".267",".326",".476",".801",".209","5.2",".267"," ","0.0","92","7.7",".340","109","941"
"2007","J.J. Hardy","Brewers","638","6.3 %","11.4 %","0.55",".277",".323",".463",".786",".186","2.6",".279","-0.4","-1.4","84","5.0",".340","103","3797"
"2003","Jeff Conine","- - -","646","7.7 %","10.8 %","0.71",".282",".338",".459",".797",".177","4.5",".286","1.1","0.9","86","6.8",".340","109","131"
"2004","Rafael Palmeiro","Orioles","651","13.2 %","9.4 %","1.41",".258",".359",".436",".796",".178","1.7",".251","-2.3","-0.2","86","5.6",".340","106","1266"
"2006","Tadahito Iguchi","White Sox","627","9.4 %","17.5 %","0.54",".281",".352",".422",".774",".141","4.0",".322","1.1","-0.2","83","4.7",".340","99","8581"
"2000","Rich Aurilia","Giants","571","9.5 %","15.8 %","0.60",".271",".339",".444",".783",".173","2.3",".293"," ","-0.6","75","-0.2",".340","100","1106"
"2006","Ryan Freel","Reds","523","10.9 %","18.7 %","0.58",".271",".363",".399",".762",".128","6.0",".330","-0.3","2.4","70","3.9",".340","100","1207"
"2007","Ryan Zimmerman","Nationals","722","8.4 %","17.3 %","0.49",".266",".330",".458",".788",".191","4.3",".295","3.4","-0.2","95","5.5",".340","105","4220"
"2005","Tadahito Iguchi","White Sox","582","8.1 %","19.6 %","0.41",".278",".342",".438",".780",".160","5.9",".327","3.0","0.7","77","6.9",".340","105","8581"
"2005","Joe Randa","- - -","609","7.7 %","13.3 %","0.58",".276",".335",".452",".787",".177","2.3",".296","1.8","-0.6","80","7.2",".340","107","623"
"2001","Gabe Kapler","Rangers","556","11.0 %","12.6 %","0.87",".267",".348",".437",".785",".170","5.3",".278"," ","2.0","75","6.1",".340","102","1256"
"2003","Angel Berroa","Royals","635","4.6 %","15.7 %","0.29",".287",".338",".451",".789",".164","7.0",".319","0.5","2.0","84","6.5",".340","101","591"
"2003","Ramon Hernandez","Athletics","536","6.2 %","14.7 %","0.42",".273",".331",".458",".789",".184","2.1",".285","-0.5","-0.1","71","5.5",".340","107","918"
"2001","Ben Grieve","Devil Rays","639","13.6 %","24.9 %","0.55",".264",".372",".387",".760",".124","3.9",".353"," ","0.9","86","6.9",".340","107","1209"
"2005","Joe Mauer","Twins","554","11.0 %","11.6 %","0.95",".294",".372",".411",".783",".117","4.7",".322","-0.2","2.0","73","6.5",".340","108","1857"
"2000","Al Martin","- - -","523","6.9 %","16.3 %","0.42",".285",".338",".452",".791",".167","6.3",".319"," ","-2.1","68","-0.3",".340","102","1167"
"2008","Skip Schumaker","Cardinals","594","7.9 %","10.1 %","0.78",".302",".359",".406",".765",".104","5.4",".328","2.3","0.3","77","5.7",".340","106","3704"
"2005","Eric Chavez","Athletics","694","8.4 %","18.6 %","0.45",".269",".329",".466",".794",".197","3.7",".295","3.6","1.0","91","8.1",".340","110","906"
"2011","Matt Wieters","Orioles","551","8.7 %","15.2 %","0.57",".262",".328",".450",".778",".188","2.2",".276","-1.1","-0.3","72","10.4",".340","110","4298"
"2007","Jack Wilson","Pirates","535","7.1 %","8.6 %","0.83",".296",".350",".440",".791",".145","3.0",".303","1.3","-2.2","70","3.9",".340","102","1017"
"2007","Shane Victorino","Phillies","510","7.3 %","12.2 %","0.60",".281",".347",".423",".770",".143","7.3",".302","1.6","5.2","67","3.7",".340","98","1677"
"2007","Mark Ellis","Athletics","642","6.9 %","14.6 %","0.47",".276",".336",".441",".777",".165","4.6",".300","1.8","-0.4","84","4.6",".340","107","1443"
"2006","Eric Chavez","Athletics","576","14.6 %","17.4 %","0.84",".241",".351",".435",".786",".194","3.5",".257","-1.7","0.4","76","4.0",".340","105","906"
"2002","Shea Hillenbrand","Red Sox","676","3.7 %","14.1 %","0.26",".293",".330",".459",".789",".166","4.2",".319","3.2","-0.1","89","7.7",".340","105","196"
"2003","Mike Cameron","Mariners","612","11.4 %","22.4 %","0.51",".253",".344",".431",".774",".178","5.6",".307","1.3","0.3","81","6.0",".340","110","1070"
"2008","Alexei Ramirez","White Sox","509","3.5 %","12.0 %","0.30",".290",".317",".475",".792",".185","4.5",".294","2.2","-1.5","66","4.7",".340","101","5133"
"2006","Mike Jacobs","Marlins","520","8.7 %","20.2 %","0.43",".262",".325",".473",".798",".211","3.0",".295","-0.7","0.4","69","3.6",".340","104","2231"
"2003","Michael Young","Rangers","713","5.0 %","14.4 %","0.35",".306",".339",".446",".785",".140","6.5",".342","4.1","1.6","94","7.0",".339","100","1286"
"2005","Julio Lugo","Devil Rays","690","8.8 %","10.4 %","0.85",".295",".362",".403",".765",".107","6.5",".325","-0.8","2.9","90","7.7",".339","109","565"
"2007","Casey Blake","Indians","662","8.2 %","18.6 %","0.44",".270",".339",".437",".776",".167","3.7",".312","2.0","-1.9","86","4.6",".339","106","719"
"2007","Kevin Kouzmanoff","Padres","534","6.0 %","17.6 %","0.34",".275",".329",".457",".786",".182","2.7",".304","-1.1","-0.2","70","3.7",".339","109","5995"
"2005","Dmitri Young","Tigers","509","5.7 %","19.6 %","0.29",".271",".325",".471",".796",".200","3.4",".304","-1.2","0.0","67","5.6",".339","109","505"
"2001","Fernando Vina","Cardinals","690","4.6 %","5.1 %","0.91",".303",".357",".418",".775",".116","6.1",".309"," ","0.3","93","6.9",".339","104","1189"
"2003","Marquis Grissom","Giants","618","3.2 %","13.3 %","0.24",".300",".322",".468",".790",".169","5.0",".318","0.6","0.8","82","5.8",".339","105","652"
"2000","Joe Randa","Royals","665","5.4 %","9.9 %","0.55",".304",".343",".438",".781",".134","4.2",".316"," ","-0.1","86","-1.0",".339","90","623"
"2006","Ichiro Suzuki","Mariners","752","6.5 %","9.4 %","0.69",".322",".370",".416",".786",".094","7.5",".348","0.3","7.8","99","4.8",".339","106","1101"
"2011","Ryan Roberts","Diamondbacks","555","11.9 %","17.7 %","0.67",".249",".341",".427",".768",".178","5.3",".275","2.9","-0.5","72","10.0",".339","107","5653"
"2004","Orlando Hudson","Blue Jays","551","9.3 %","17.8 %","0.52",".270",".341",".438",".779",".168","5.6",".313","1.3","0.0","72","4.0",".339","100","1307"
"2012","Kendrys Morales","Angels","522","5.9 %","22.2 %","0.27",".273",".320",".467",".787",".194","1.9",".315","-1.6","-0.9","70","10.0",".339","118","8610"
"2005","Garrett Atkins","Rockies","573","7.9 %","12.6 %","0.63",".287",".347",".426",".773",".139","2.0",".311","-0.3","-1.1","75","6.1",".339","94","1790"
"2007","Aubrey Huff","Orioles","603","8.0 %","14.4 %","0.55",".280",".337",".442",".778",".162","3.3",".308","2.4","-0.7","78","3.8",".339","103","1213"
"2004","Khalil Greene","Padres","554","9.6 %","17.0 %","0.56",".273",".349",".446",".795",".174","4.3",".305","1.0","-0.2","73","4.0",".339","110","1826"
"2006","Adrian Beltre","Mariners","681","6.9 %","17.3 %","0.40",".268",".328",".465",".792",".197","4.9",".294","-0.3","-0.2","90","4.1",".339","105","639"
"2003","John Olerud","Mariners","634","13.2 %","10.6 %","1.25",".269",".372",".390",".761",".121","1.2",".290","-5.0","-0.5","83","5.7",".339","110","1093"
