"Season","Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"2002","Barry Bonds","Giants","612","32.4 %","7.7 %","4.21",".370",".582",".799","1.381",".429","3.9",".330","-5.0","0.9","184","110.0",".544","244","1109"
"2004","Barry Bonds","Giants","617","37.6 %","6.6 %","5.66",".362",".609",".812","1.422",".450","4.0",".310","-3.3","0.6","184","108.0",".537","233","1109"
"2001","Barry Bonds","Giants","664","26.7 %","14.0 %","1.90",".328",".515",".863","1.379",".536","4.1",".266"," ","1.3","200","117.7",".537","234","1109"
"2003","Barry Bonds","Giants","550","26.9 %","10.5 %","2.55",".341",".529",".749","1.278",".408","3.9",".304","-1.9","1.3","148","80.5",".503","212","1109"
"2000","Manny Ramirez","Indians","532","16.2 %","22.0 %","0.74",".351",".457",".697","1.154",".346","2.7",".403"," ","-0.2","133","63.0",".477","182","210"
"2000","Todd Helton","Rockies","697","14.8 %","8.8 %","1.69",".372",".463",".698","1.162",".326","3.6",".357"," ","-0.3","174","82.4",".476","162","432"
"2000","Carlos Delgado","Blue Jays","711","17.3 %","14.6 %","1.18",".344",".470",".664","1.134",".320","1.8",".362"," ","-0.4","174","81.0",".471","179","1297"
"2000","Jason Giambi","Athletics","664","20.6 %","14.5 %","1.43",".333",".476",".647","1.123",".314","2.5",".335"," ","0.5","163","75.5",".471","183","818"
"2001","Jason Giambi","Athletics","671","19.2 %","12.4 %","1.55",".342",".477",".660","1.137",".317","2.8",".343"," ","0.3","162","78.3",".465","193","818"
"2001","Sammy Sosa","Cubs","711","16.3 %","21.5 %","0.76",".328",".437",".737","1.174",".409","3.6",".336"," ","-0.9","171","82.7",".465","186","302"
"2003","Albert Pujols","Cardinals","685","11.5 %","9.5 %","1.22",".359",".439",".667","1.106",".308","3.6",".346","6.0","0.4","160","76.4",".461","184","1177"
"2001","Larry Walker","Rockies","601","13.6 %","17.1 %","0.80",".350",".449",".662","1.111",".312","5.0",".374"," ","0.6","142","67.9",".461","163","455"
"2002","Jim Thome","Indians","613","19.9 %","22.7 %","0.88",".304",".445",".677","1.122",".373","2.2",".319","-2.1","-0.7","142","68.3",".461","189","409"
"2002","Manny Ramirez","Red Sox","518","14.1 %","16.4 %","0.86",".349",".450",".647","1.097",".298","1.2",".373","-5.4","0.0","119","57.1",".459","185","210"
"2008","Albert Pujols","Cardinals","641","16.2 %","8.4 %","1.93",".357",".462",".653","1.114",".296","2.6",".340","-1.7","-0.4","146","69.1",".459","184","1177"
"2001","Todd Helton","Rockies","697","14.1 %","14.9 %","0.94",".336",".432",".685","1.116",".349","3.7",".337"," ","-0.8","163","76.7",".457","160","432"
"2000","Barry Bonds","Giants","607","19.3 %","12.7 %","1.52",".306",".440",".688","1.127",".381","5.5",".271"," ","0.9","141","61.0",".456","174","1109"
"2004","Todd Helton","Rockies","683","18.6 %","10.5 %","1.76",".347",".469",".620","1.088",".272","3.3",".352","2.8","0.4","156","71.6",".454","166","432"
"2001","Luis Gonzalez","Diamondbacks","728","13.7 %","11.4 %","1.20",".325",".429",".688","1.117",".363","3.5",".297"," ","-0.3","168","77.8",".454","173","55"
"2003","Todd Helton","Rockies","703","15.8 %","10.2 %","1.54",".358",".458",".630","1.088",".271","3.3",".363","2.9","-1.9","160","73.6",".453","163","432"
"2000","Gary Sheffield","Dodgers","612","16.5 %","11.6 %","1.42",".325",".438",".643","1.081",".317","3.0",".305"," ","-1.9","139","58.8",".451","173","114"
"2006","Travis Hafner","Indians","564","17.7 %","19.7 %","0.90",".308",".439",".659","1.097",".350","1.8",".323","-2.6","-0.2","128","57.1",".450","176","1573"
"2007","David Ortiz","Red Sox","667","16.6 %","15.4 %","1.08",".332",".445",".621","1.066",".290","3.0",".355","-4.7","-0.5","149","66.2",".449","175","745"
"2009","Albert Pujols","Cardinals","700","16.4 %","9.1 %","1.80",".327",".443",".658","1.101",".331","4.1",".299","2.7","1.1","152","68.5",".447","180","1177"
"2006","Albert Pujols","Cardinals","634","14.5 %","7.9 %","1.84",".331",".431",".671","1.102",".340","3.5",".292","1.7","0.3","142","62.6",".447","174","1177"
"2008","Chipper Jones","Braves","534","16.9 %","11.4 %","1.48",".364",".470",".574","1.044",".210","3.3",".383","-0.5","0.3","116","51.7",".445","174","97"
"2010","Josh Hamilton","Rangers","571","7.5 %","16.6 %","0.45",".359",".411",".633","1.044",".274","4.7",".390","4.4","0.7","122","56.8",".445","175","1875"
"2007","Alex Rodriguez","Yankees","708","13.4 %","16.9 %","0.79",".314",".422",".645","1.067",".331","5.0",".309","5.7","2.4","155","67.5",".445","175","1274"
"2002","Brian Giles","Pirates","644","21.0 %","11.5 %","1.82",".298",".450",".622","1.072",".324","4.7",".282","-0.5","0.4","140","62.7",".444","174","990"
"2005","Derrek Lee","Cubs","691","12.3 %","15.8 %","0.78",".335",".418",".662","1.080",".327","5.0",".343","-2.4","1.5","150","67.4",".444","170","525"
"2011","Jose Bautista","Blue Jays","655","20.2 %","16.9 %","1.19",".302",".447",".608","1.056",".306","3.5",".309","2.7","-0.9","139","65.6",".443","182","1887"
"2004","Albert Pujols","Cardinals","692","12.1 %","7.5 %","1.62",".331",".415",".657","1.072",".326","3.6",".298","5.1","-1.3","151","65.3",".442","171","1177"
"2000","Frank Thomas","White Sox","707","15.8 %","13.3 %","1.19",".328",".436",".625","1.061",".297","1.6",".327"," ","-1.1","155","61.7",".441","160","255"
"2002","Jason Giambi","Yankees","689","15.8 %","16.3 %","0.97",".314",".435",".598","1.034",".284","2.7",".328","-5.4","-0.5","148","64.9",".440","175","818"
"2001","Lance Berkman","Astros","688","13.4 %","17.6 %","0.76",".331",".430",".620","1.051",".289","4.0",".367"," ","-2.5","151","65.5",".440","164","548"
"2000","Vladimir Guerrero","Expos","641","9.0 %","11.5 %","0.78",".345",".410",".664","1.074",".319","5.1",".335"," ","-2.7","139","55.1",".439","160","778"
"2009","Joe Mauer","Twins","606","12.5 %","10.4 %","1.21",".365",".444",".587","1.031",".222","3.1",".373","-1.5","-0.1","127","54.8",".438","170","1857"
"2007","Magglio Ordonez","Tigers","679","11.2 %","11.6 %","0.96",".363",".434",".595","1.029",".232","2.9",".381","-1.2","-0.3","145","61.0",".438","170","248"
"2010","Joey Votto","Reds","648","14.0 %","19.3 %","0.73",".324",".424",".600","1.024",".276","4.5",".361","-1.3","0.6","135","60.5",".438","172","4314"
"2011","Miguel Cabrera","Tigers","688","15.7 %","12.9 %","1.21",".344",".448",".586","1.033",".241","2.1",".365","-2.8","-0.8","143","66.1",".437","177","1744"
"2006","Ryan Howard","Phillies","704","15.3 %","25.7 %","0.60",".313",".425",".659","1.084",".346","1.3",".356","-3.3","-0.3","151","63.0",".436","162","2154"
"2006","Manny Ramirez","Red Sox","558","17.9 %","18.3 %","0.98",".321",".439",".619","1.058",".298","1.5",".341","-3.2","-0.7","120","49.8",".436","163","210"
"2004","Jim Edmonds","Cardinals","612","16.5 %","24.5 %","0.67",".301",".418",".643","1.061",".341","4.4",".344","-0.4","0.2","131","54.8",".436","168","1153"
"2005","Alex Rodriguez","Yankees","715","12.7 %","19.4 %","0.65",".321",".421",".610","1.031",".289","4.6",".347","-2.5","1.4","151","65.0",".436","174","1274"
"2000","Moises Alou","Astros","517","10.1 %","8.7 %","1.16",".355",".416",".623","1.039",".269","2.9",".338"," ","-0.7","111","42.7",".436","154","261"
"2000","Jeff Bagwell","Astros","719","14.9 %","16.1 %","0.92",".310",".424",".615","1.039",".305","4.2",".313"," ","-0.9","153","59.0",".435","153","547"
"2007","Chipper Jones","Braves","600","13.7 %","12.5 %","1.09",".337",".425",".604","1.029",".267","4.5",".348","1.7","0.0","126","51.7",".434","163","97"
"2002","Larry Walker","Rockies","553","11.8 %","13.2 %","0.89",".338",".421",".602","1.023",".264","4.5",".353","4.7","-0.9","115","49.0",".433","150","455"
"2008","Manny Ramirez","- - -","654","13.3 %","19.0 %","0.70",".332",".430",".601","1.031",".270","3.0",".370","-2.2","0.1","135","56.7",".432","165","210"
"2005","Albert Pujols","Cardinals","700","13.9 %","9.3 %","1.49",".330",".430",".609","1.039",".279","5.1",".316","3.0","2.1","145","61.5",".432","167","1177"
"2000","Nomar Garciaparra","Red Sox","599","10.2 %","8.3 %","1.22",".372",".434",".599","1.033",".227","4.1",".378"," ","0.2","126","47.5",".432","154","190"
"2010","Miguel Cabrera","Tigers","648","13.7 %","14.7 %","0.94",".328",".420",".622","1.042",".294","2.8",".336","1.7","-1.1","132","57.1",".431","171","1744"
"2000","Jeff Kent","Giants","695","12.9 %","15.4 %","0.84",".334",".424",".596","1.021",".262","4.9",".357"," ","-1.6","146","54.8",".431","158","1119"
"2007","Carlos Pena","Devil Rays","612","16.8 %","23.2 %","0.73",".282",".411",".627","1.037",".345","2.3",".297","-2.5","-0.3","127","51.3",".431","167","934"
"2003","Gary Sheffield","Braves","678","12.7 %","8.1 %","1.56",".330",".419",".604","1.023",".274","5.2",".308","2.4","1.8","142","58.5",".431","162","114"
"2000","Alex Rodriguez","Mariners","672","14.9 %","18.0 %","0.83",".316",".420",".606","1.026",".291","5.1",".333"," ","1.3","141","52.7",".431","158","1274"
"2000","Brian Giles","Pirates","688","16.6 %","10.0 %","1.65",".315",".432",".594","1.026",".279","5.0",".305"," ","1.3","144","53.8",".430","154","990"
"2004","Lance Berkman","Astros","687","18.5 %","14.7 %","1.26",".316",".450",".566","1.016",".250","3.6",".339","-3.1","-1.4","143","58.1",".430","161","548"
"2001","Jim Thome","Indians","644","17.2 %","28.7 %","0.60",".291",".416",".624","1.040",".333","1.6",".353"," ","-0.5","136","55.6",".429","167","409"
"2004","J.D. Drew","Braves","645","18.3 %","18.0 %","1.02",".305",".436",".569","1.006",".264","6.2",".340","4.0","0.9","134","54.1",".429","162","1152"
"2007","Matt Holliday","Rockies","713","8.8 %","17.7 %","0.50",".340",".405",".607","1.012",".267","5.2",".377","6.6","-0.1","146","58.2",".428","150","1873"
"2000","Sammy Sosa","Cubs","705","12.9 %","23.8 %","0.54",".320",".406",".634","1.040",".315","3.0",".363"," ","-0.4","146","53.3",".428","154","302"
"2000","Richard Hidalgo","Astros","644","8.7 %","17.1 %","0.51",".314",".391",".636","1.028",".323","5.2",".317"," ","-0.1","133","48.7",".428","149","561"
"2001","Chipper Jones","Braves","677","14.5 %","12.1 %","1.20",".330",".427",".605","1.032",".274","4.1",".330"," ","-2.6","141","57.3",".427","161","97"
"2006","David Ortiz","Red Sox","686","17.3 %","17.1 %","1.02",".287",".413",".636","1.049",".349","2.5",".270","-3.4","-0.1","142","56.0",".427","157","745"
"2006","Lance Berkman","Astros","646","15.2 %","16.4 %","0.92",".315",".420",".621","1.041",".306","1.8",".316","-3.0","-0.5","133","52.3",".426","159","548"
"2011","Ryan Braun","Brewers","629","9.2 %","14.8 %","0.62",".332",".397",".597",".994",".265","7.0",".350","3.4","3.6","125","54.8",".426","173","3410"
"2001","Alex Rodriguez","Rangers","732","10.2 %","17.9 %","0.57",".318",".399",".622","1.021",".304","4.7",".325"," ","2.3","151","60.3",".425","159","1274"
"2002","Alex Rodriguez","Rangers","725","12.0 %","16.8 %","0.71",".300",".392",".623","1.015",".324","4.0",".290","2.0","0.1","146","58.9",".424","157","1274"
"2008","Milton Bradley","Rangers","510","15.7 %","22.0 %","0.71",".321",".436",".563",".999",".242","3.2",".388","-1.6","-0.7","102","40.4",".424","159","369"
"2000","Edgar Martinez","Mariners","665","14.4 %","14.3 %","1.01",".324",".423",".579","1.002",".255","2.4",".331"," ","0.7","136","48.4",".424","154","1086"
"2000","Troy Glaus","Angels","678","16.5 %","24.0 %","0.69",".284",".404",".604","1.008",".320","3.9",".319"," ","-2.2","138","49.0",".424","150","15"
"2003","Carlos Delgado","Blue Jays","705","15.5 %","19.4 %","0.80",".302",".426",".593","1.019",".291","2.0",".327","-3.8","-0.1","143","56.5",".423","158","1297"
"2004","Adrian Beltre","Dodgers","657","8.1 %","13.2 %","0.61",".334",".388",".629","1.017",".294","3.0",".325","-2.5","0.4","133","51.9",".423","161","639"
"2001","Albert Pujols","Cardinals","676","10.2 %","13.8 %","0.74",".329",".403",".610","1.013",".281","3.2",".336"," ","-1.1","139","54.7",".423","159","1177"
"2005","Travis Hafner","Indians","578","13.7 %","21.3 %","0.64",".305",".408",".595","1.003",".290","1.5",".344","0.6","-0.2","116","46.3",".423","166","1573"
"2000","Mike Piazza","Mets","545","10.6 %","12.7 %","0.84",".324",".398",".614","1.012",".290","2.7",".313"," ","0.0","110","38.9",".423","153","893"
"2004","Scott Rolen","Cardinals","593","12.1 %","15.5 %","0.78",".314",".409",".598","1.007",".284","4.5",".323","4.2","-0.6","120","46.3",".422","159","970"
"2005","Jason Giambi","Yankees","545","19.8 %","20.0 %","0.99",".271",".440",".535",".975",".264","0.9",".292","-2.3","-0.3","109","43.5",".422","165","818"
"2009","Prince Fielder","Brewers","719","15.3 %","19.2 %","0.80",".299",".412",".602","1.014",".303","2.5",".315","-4.5","-1.4","142","55.5",".422","161","4613"
"2010","Jose Bautista","Blue Jays","683","14.6 %","17.0 %","0.86",".260",".378",".617",".995",".357","4.4",".233","-0.4","0.5","134","55.1",".422","165","1887"
"2004","Melvin Mora","Orioles","636","10.4 %","14.9 %","0.69",".340",".419",".562",".981",".222","3.7",".371","-2.9","-0.6","128","49.0",".421","159","157"
"2003","Manny Ramirez","Red Sox","679","14.3 %","13.8 %","1.03",".325",".427",".587","1.014",".262","2.8",".334","1.4","0.0","136","53.0",".421","158","210"
"2006","Jim Thome","White Sox","610","17.5 %","24.1 %","0.73",".288",".416",".598","1.014",".310","1.5",".321","-1.6","-0.3","123","46.6",".421","152","409"
"2002","Todd Helton","Rockies","668","14.8 %","13.6 %","1.09",".329",".429",".577","1.006",".248","4.2",".344","-2.3","0.5","133","52.3",".421","141","432"
"2000","Jim Edmonds","Cardinals","643","16.0 %","26.0 %","0.62",".295",".411",".583",".994",".288","4.0",".349"," ","0.7","129","44.8",".421","148","1153"
"2007","Albert Pujols","Cardinals","679","14.6 %","8.5 %","1.71",".327",".429",".568",".997",".241","2.0",".317","0.2","-2.8","134","50.1",".419","155","1177"
"2002","Vladimir Guerrero","Expos","709","11.8 %","9.9 %","1.20",".336",".417",".593","1.010",".257","4.9",".327","2.5","-0.5","140","54.5",".419","155","778"
"2007","Chase Utley","Phillies","613","8.2 %","14.5 %","0.56",".332",".410",".566",".976",".234","5.8",".362","1.7","0.8","121","45.1",".419","150","1679"
"2007","Prince Fielder","Brewers","681","13.2 %","17.8 %","0.74",".288",".395",".618","1.013",".330","2.7",".283","-1.6","-1.0","134","50.0",".419","153","4613"
"2010","Albert Pujols","Cardinals","700","14.7 %","10.9 %","1.36",".312",".414",".596","1.011",".284","3.9",".297","1.5","0.7","135","54.6",".419","164","1177"
"2005","David Ortiz","Red Sox","713","14.3 %","17.4 %","0.82",".300",".397",".604","1.001",".304","2.5",".303","-6.5","-0.1","140","54.5",".418","157","745"
"2000","Edgardo Alfonzo","Mets","650","14.6 %","10.8 %","1.36",".324",".425",".542",".967",".219","3.3",".332"," ","-0.2","129","43.8",".418","150","859"
"2009","Joey Votto","Reds","544","12.9 %","19.5 %","0.66",".322",".414",".567",".981",".245","3.3",".372","0.3","0.0","105","40.1",".418","155","4314"
"2006","Jermaine Dye","White Sox","611","9.7 %","19.3 %","0.50",".315",".385",".622","1.006",".306","4.2",".328","-2.7","-0.1","122","45.1",".418","151","911"
"2007","Jorge Posada","Yankees","589","12.6 %","16.6 %","0.76",".338",".426",".543",".970",".206","3.0",".386","-6.8","-0.2","116","42.8",".418","157","841"
"2004","Travis Hafner","Indians","576","11.8 %","19.3 %","0.61",".311",".410",".583",".993",".272","4.0",".350","0.5","-0.4","114","42.6",".418","158","1573"
"2001","Gary Sheffield","Dodgers","618","15.2 %","10.8 %","1.40",".311",".417",".583","1.000",".272","4.0",".297"," ","0.2","124","47.2",".418","159","114"
"2003","Jim Edmonds","Cardinals","531","14.5 %","23.9 %","0.61",".275",".385",".617","1.002",".342","2.9",".297","-2.1","-1.2","105","39.9",".417","156","1153"
"2012","Miguel Cabrera","Tigers","697","9.5 %","14.1 %","0.67",".330",".393",".606",".999",".277","2.6",".331","-2.5","-0.4","137","57.3",".417","166","1744"
"2008","Lance Berkman","Astros","665","14.9 %","16.2 %","0.92",".312",".420",".567",".986",".255","5.6",".341","4.5","1.4","129","48.7",".417","156","548"
"2010","Paul Konerko","White Sox","631","11.4 %","17.4 %","0.65",".312",".393",".584",".977",".272","1.7",".326","-3.2","-0.9","121","48.4",".417","158","242"
"2004","Manny Ramirez","Red Sox","663","12.4 %","18.7 %","0.66",".308",".397",".613","1.009",".305","1.9",".324","-4.0","-1.5","131","48.7",".417","153","210"
"2003","Alex Rodriguez","Rangers","715","12.2 %","17.6 %","0.69",".298",".396",".600",".995",".301","6.1",".305","2.0","2.0","141","53.1",".416","151","1274"
"2005","Todd Helton","Rockies","626","16.9 %","12.8 %","1.33",".320",".445",".534",".979",".214","3.3",".349","-2.0","0.3","122","46.8",".416","145","432"
"2002","Sammy Sosa","Cubs","666","15.5 %","21.6 %","0.72",".288",".399",".594",".993",".306","3.3",".302","2.3","0.4","129","49.3",".416","157","302"
"2006","Miguel Cabrera","Marlins","676","12.7 %","16.0 %","0.80",".339",".430",".568",".998",".229","3.9",".379","-1.1","-1.1","133","48.5",".415","153","1744"
"2002","Magglio Ordonez","White Sox","654","8.1 %","11.8 %","0.69",".320",".381",".597",".978",".276","3.6",".316","1.2","-0.7","127","48.3",".415","155","248"
"2002","Mike Sweeney","Royals","545","11.2 %","8.4 %","1.33",".340",".417",".563",".979",".223","3.4",".333","1.7","-1.2","106","40.2",".415","152","634"
"2001","Manny Ramirez","Red Sox","620","13.1 %","23.7 %","0.55",".306",".405",".609","1.014",".302","2.3",".353"," ","-0.5","123","46.1",".415","156","210"
"2008","Carlos Quentin","White Sox","569","11.6 %","14.1 %","0.83",".288",".394",".571",".965",".283","4.0",".278","0.8","-0.3","109","40.6",".415","152","6274"
"2000","Will Clark","- - -","507","13.6 %","13.6 %","1.00",".319",".418",".546",".964",".227","4.0",".337"," ","0.2","99","32.6",".415","146","1002318"
"2002","Jim Edmonds","Cardinals","576","14.9 %","23.3 %","0.64",".311",".420",".561",".981",".250","3.7",".375","-0.1","-0.5","111","42.1",".414","156","1153"
"2000","Bobby Abreu","Phillies","680","14.7 %","17.1 %","0.86",".316",".416",".554",".970",".238","6.8",".358"," ","2.0","132","43.1",".413","143","945"
"2007","David Wright","Mets","711","13.2 %","16.2 %","0.82",".325",".416",".546",".963",".222","5.1",".356","2.8","3.9","137","49.1",".413","151","3787"
"2004","Bobby Abreu","Phillies","713","17.8 %","16.3 %","1.09",".301",".428",".544",".971",".242","5.6",".329","1.4","5.6","139","50.2",".413","148","945"
"2012","Ryan Braun","Brewers","677","9.3 %","18.9 %","0.49",".319",".391",".595",".987",".276","5.7",".346","1.3","2.4","131","53.4",".413","162","3410"
"2001","Brian Giles","Pirates","674","13.4 %","9.9 %","1.34",".309",".404",".590",".994",".281","5.4",".296"," ","0.0","133","49.0",".413","151","990"
"2009","Kevin Youkilis","Red Sox","588","13.1 %","21.3 %","0.62",".305",".413",".548",".961",".242","4.1",".359","0.8","0.1","111","41.0",".413","147","1935"
"2011","Matt Kemp","Dodgers","689","10.7 %","23.1 %","0.47",".324",".399",".586",".986",".262","6.2",".380","2.9","3.0","130","52.9",".413","168","5631"
"2010","Carlos Gonzalez","Rockies","636","6.3 %","21.2 %","0.30",".336",".376",".598",".974",".262","7.2",".384","4.3","1.5","120","46.8",".413","144","7287"
"2009","Derrek Lee","Cubs","615","12.4 %","17.7 %","0.70",".306",".393",".579",".972",".273","2.6",".327","-0.5","-0.2","117","42.8",".413","150","525"
"2003","Trot Nixon","Red Sox","513","12.7 %","18.7 %","0.68",".306",".396",".578",".975",".272","5.0",".334","-2.1","-0.1","99","36.2",".412","152","204"
"2007","Jim Thome","White Sox","536","17.7 %","25.0 %","0.71",".275",".410",".563",".973",".287","1.2",".316","-3.7","-0.9","103","36.3",".412","149","409"
"2002","Chipper Jones","Braves","662","16.2 %","13.4 %","1.20",".327",".435",".536",".972",".210","3.4",".349","-0.7","0.7","126","46.9",".412","153","97"
"2002","Lance Berkman","Astros","692","15.5 %","17.1 %","0.91",".292",".405",".578",".982",".285","3.6",".302","0.0","-0.1","132","48.9",".411","149","548"
"2005","Manny Ramirez","Red Sox","650","12.3 %","18.3 %","0.67",".292",".388",".594",".982",".301","2.8",".295","-1.2","0.0","124","46.0",".411","152","210"
"2004","Vladimir Guerrero","Angels","680","7.6 %","10.9 %","0.70",".337",".391",".598",".989",".261","5.2",".329","1.1","1.5","131","46.7",".411","154","778"
"2006","Matt Holliday","Rockies","667","7.0 %","16.5 %","0.43",".326",".387",".586",".973",".261","5.4",".351","-1.1","-0.4","129","44.9",".410","138","1873"
"2011","Prince Fielder","Brewers","692","15.5 %","15.3 %","1.01",".299",".415",".566",".981",".267","1.9",".306","-5.3","-0.8","129","51.4",".410","161","4613"
"2008","Mark Teixeira","- - -","685","14.2 %","13.6 %","1.04",".308",".410",".552",".962",".244","2.2",".316","0.6","-0.1","129","46.1",".410","152","1281"
"2008","Alex Rodriguez","Yankees","594","10.9 %","19.7 %","0.56",".302",".392",".573",".965",".271","4.8",".328","2.3","1.9","111","39.7",".409","152","1274"
"2008","Matt Holliday","Rockies","623","11.9 %","16.7 %","0.71",".321",".409",".538",".947",".217","6.1",".359","4.7","4.3","117","41.6",".409","141","1873"
"2006","Garrett Atkins","Rockies","695","11.4 %","10.9 %","1.04",".329",".409",".556",".965",".228","3.4",".335","0.0","0.5","133","46.1",".409","138","1790"
"2012","Mike Trout","Angels","639","10.5 %","21.8 %","0.48",".326",".399",".564",".963",".238","8.6",".383","5.0","7.0","121","48.2",".409","166","10155"
"2000","Chipper Jones","Braves","686","13.8 %","9.3 %","1.48",".311",".404",".566",".970",".256","3.9",".294"," ","-0.3","131","40.7",".409","141","97"
"2001","Phil Nevin","Padres","624","11.4 %","23.6 %","0.48",".306",".388",".588",".976",".282","2.3",".349"," ","-1.0","120","42.9",".408","154","1049"
"2008","Ryan Ludwick","Cardinals","617","10.0 %","23.7 %","0.42",".299",".375",".591",".966",".292","4.1",".342","2.2","-1.3","115","40.8",".408","151","1260"
"2001","Edgar Martinez","Mariners","581","16.0 %","15.5 %","1.03",".306",".423",".543",".966",".236","3.1",".331"," ","0.3","112","39.8",".408","157","1086"
"2006","Carlos Beltran","Mets","617","15.4 %","16.0 %","0.96",".275",".388",".594",".982",".320","5.7",".263","4.3","2.1","118","40.3",".408","148","589"
"2004","David Ortiz","Red Sox","669","11.2 %","19.9 %","0.56",".301",".380",".603",".983",".302","2.1",".322","-4.2","-0.1","127","44.0",".408","147","745"
"2011","Lance Berkman","Cardinals","587","15.7 %","15.8 %","0.99",".301",".412",".547",".959",".246","2.6",".315","2.3","-2.6","108","42.6",".408","163","548"
"2000","Darin Erstad","Angels","747","8.6 %","11.0 %","0.78",".355",".409",".541",".951",".186","6.0",".375"," ","2.0","142","43.6",".408","140","11"
"2005","Carlos Delgado","Marlins","616","11.7 %","19.6 %","0.60",".301",".399",".582",".981",".280","2.3",".332","-1.8","-0.2","115","41.6",".407","152","1297"
"2011","Adrian Gonzalez","Red Sox","715","10.3 %","16.6 %","0.62",".338",".410",".548",".957",".210","3.0",".380","-8.2","-0.5","132","51.6",".407","154","1908"
"2009","Ben Zobrist","Rays","599","15.2 %","17.4 %","0.88",".297",".405",".543",".948",".246","6.1",".326","2.5","0.4","111","38.8",".407","152","7435"
"2011","David Ortiz","Red Sox","605","12.9 %","13.7 %","0.94",".309",".398",".554",".953",".246","2.1",".321","-5.4","-0.8","111","43.5",".407","154","745"
"2007","Mark Teixeira","- - -","575","12.5 %","19.5 %","0.64",".306",".400",".563",".963",".257","2.1",".342","1.1","-0.5","108","36.5",".407","146","1281"
"2009","Hanley Ramirez","Marlins","652","9.4 %","15.5 %","0.60",".342",".410",".543",".954",".201","4.8",".379","3.2","1.6","120","42.1",".407","148","8001"
"2001","Jeff Bagwell","Astros","717","14.8 %","18.8 %","0.79",".288",".397",".568",".966",".280","5.1",".311"," ","0.9","137","48.3",".407","143","547"
"2005","Jason Bay","Pirates","707","13.4 %","20.1 %","0.67",".306",".402",".559",".961",".254","6.4",".350","4.6","3.5","132","47.3",".407","150","1717"
"2006","Jason Giambi","Yankees","579","19.0 %","18.3 %","1.04",".253",".413",".558",".971",".305","2.4",".245","-5.7","0.2","110","37.1",".407","147","818"
"2001","Jim Edmonds","Cardinals","608","15.3 %","22.4 %","0.68",".304",".410",".564",".974",".260","3.0",".355"," ","-1.2","116","40.7",".406","148","1153"
"2010","Troy Tulowitzki","Rockies","529","9.1 %","14.7 %","0.62",".315",".381",".568",".949",".253","5.6",".327","1.5","1.0","97","36.1",".406","140","3531"
"2012","Buster Posey","Giants","610","11.3 %","15.7 %","0.72",".336",".408",".549",".957",".213","2.0",".368","-4.1","-1.0","114","44.7",".406","162","9166"
"2008","Kevin Youkilis","Red Sox","621","10.0 %","17.4 %","0.57",".312",".390",".569",".958",".257","3.4",".339","2.9","-1.9","115","40.0",".406","146","1935"
"2001","Roberto Alomar","Indians","677","11.8 %","10.5 %","1.13",".336",".415",".541",".956",".205","7.5",".351"," ","3.4","129","45.0",".406","151","860"
"2011","Joey Votto","Reds","719","15.3 %","17.9 %","0.85",".309",".416",".531",".947",".222","3.6",".349","-2.3","-1.5","132","51.0",".406","157","4314"
"2000","Tim Salmon","Angels","680","15.3 %","20.4 %","0.75",".290",".404",".540",".945",".250","2.5",".330"," ","-0.8","128","38.5",".406","138","32"
"2007","Hanley Ramirez","Marlins","706","7.4 %","13.5 %","0.55",".332",".386",".562",".948",".230","7.3",".353","1.3","3.5","131","43.9",".405","144","8001"
"2000","Jorge Posada","Yankees","624","17.1 %","24.2 %","0.71",".287",".417",".527",".943",".240","2.5",".355"," ","-0.4","117","34.9",".405","140","841"
"2005","Mark Teixeira","Rangers","730","9.9 %","17.0 %","0.58",".301",".379",".575",".954",".273","3.9",".315","1.1","0.5","135","47.4",".404","147","1281"
"2000","David Justice","- - -","606","12.7 %","15.0 %","0.85",".286",".377",".584",".961",".298","2.5",".276"," ","0.0","113","33.6",".404","138","923"
"2002","Albert Pujols","Cardinals","675","10.7 %","10.2 %","1.04",".314",".394",".561",".955",".247","3.1",".308","2.5","-1.3","125","43.6",".404","150","1177"
"2006","Nick Johnson","Nationals","628","17.5 %","15.8 %","1.11",".290",".428",".520",".948",".230","3.6",".320","-1.6","0.4","118","38.9",".404","147","828"
"2003","Frank Thomas","White Sox","662","15.1 %","17.4 %","0.87",".267",".390",".562",".952",".295","0.9",".265","-3.6","-0.1","123","42.2",".404","147","255"
"2003","Brian Giles","- - -","609","17.2 %","9.5 %","1.81",".299",".427",".514",".941",".215","4.3",".304","0.0","-0.6","113","38.7",".404","146","990"
"2009","Adrian Gonzalez","Padres","681","17.5 %","16.0 %","1.09",".277",".407",".551",".958",".274","2.0",".278","-3.1","-0.7","124","42.1",".404","156","1908"
"2009","Ryan Braun","Brewers","708","8.1 %","17.1 %","0.47",".320",".386",".551",".937",".231","5.9",".353","0.6","1.0","129","43.7",".403","149","3410"
"2000","Jermaine Dye","Royals","679","10.2 %","14.6 %","0.70",".321",".390",".561",".951",".240","2.4",".337"," ","-0.4","126","37.0",".403","131","911"
"2007","Miguel Cabrera","Marlins","680","11.6 %","18.7 %","0.62",".320",".401",".565",".965",".245","2.6",".355","-3.9","-0.6","125","41.1",".403","142","1744"
